"","x"
"1",2
"2",2
"3",2
"4",0
"5",2
"6",2
"7",2
"8",2
"9",2
"10",2
"11",1
"12",2
"13",2
"14",2
"15",1
"16",2
"17",2
"18",2
"19",2
"20",2
"21",2
"22",2
"23",2
"24",0
"25",2
"26",2
"27",2
"28",2
"29",2
"30",2
"31",2
"32",2
"33",1
"34",2
"35",1
"36",2
"37",1
"38",2
"39",2
"40",1
"41",1
"42",2
"43",2
"44",2
"45",2
"46",1
"47",2
"48",2
"49",0
"50",0
"51",2
"52",1
"53",2
"54",1
"55",0
"56",2
"57",1
"58",2
"59",2
"60",2
"61",2
"62",1
"63",2
"64",1
"65",2
"66",2
"67",1
"68",1
"69",2
"70",2
"71",2
"72",2
"73",2
"74",2
"75",2
"76",2
"77",2
"78",2
"79",1
"80",2
"81",2
"82",2
"83",2
"84",2
"85",2
"86",1
"87",2
"88",2
"89",2
"90",1
"91",2
"92",2
"93",1
"94",2
"95",2
"96",2
"97",2
"98",1
"99",2
"100",2
