"","x"
"1",4
"2",4
"3",2
"4",0
"5",4
"6",2
"7",3
"8",3
"9",3
"10",2
"11",2
"12",2
"13",2
"14",1
"15",1
"16",1
"17",2
"18",2
"19",1
"20",2
"21",2
"22",4
"23",3
"24",1
"25",4
"26",2
"27",3
"28",4
"29",3
"30",3
"31",2
"32",0
"33",1
"34",2
"35",2
"36",1
"37",3
"38",3
"39",3
"40",1
"41",2
"42",3
"43",2
"44",4
"45",2
"46",4
"47",4
"48",3
"49",3
"50",1
"51",2
"52",3
"53",2
"54",2
"55",0
"56",2
"57",4
"58",3
"59",2
"60",3
"61",4
"62",2
"63",2
"64",1
"65",4
"66",2
"67",2
"68",0
"69",4
"70",3
"71",2
"72",3
"73",2
"74",1
"75",2
"76",3
"77",4
"78",3
"79",1
"80",2
"81",3
"82",2
"83",1
"84",1
"85",3
"86",2
"87",3
"88",1
"89",3
"90",2
"91",3
"92",1
"93",3
"94",3
"95",3
"96",1
"97",4
"98",2
"99",2
"100",3
