"","x"
"1",0.12
"2",0.12
"3",0.07
"4",0.1
"5",0.08
"6",0.09
"7",0.11
"8",0.1
"9",0.11
"10",0.11
"11",0.09
"12",0.07
"13",0.12
"14",0.04
"15",0.11
"16",0.11
"17",0.12
"18",0.09
"19",0.09
"20",0.07
"21",0.07
"22",0.11
"23",0.09
"24",0.06
"25",0.05
"26",0.09
"27",0.09
"28",0.06
"29",0.11
"30",0.09
"31",0.1
"32",0.08
"33",0.1
"34",0.09
"35",0.1
"36",0.11
"37",0.09
"38",0.08
"39",0.09
"40",0.08
"41",0.09
"42",0.08
"43",0.1
"44",0.1
"45",0.1
"46",0.08
"47",0.11
"48",0.1
"49",0.07
"50",0.09
"51",0.11
"52",0.07
"53",0.09
"54",0.11
"55",0.11
"56",0.08
"57",0.07
"58",0.08
"59",0.09
"60",0.05
"61",0.09
"62",0.13
"63",0.08
"64",0.1
"65",0.12
"66",0.06
"67",0.07
"68",0.09
"69",0.09
"70",0.08
"71",0.11
"72",0.09
"73",0.07
"74",0.09
"75",0.09
"76",0.1
"77",0.07
"78",0.06
"79",0.09
"80",0.09
"81",0.12
"82",0.1
"83",0.1
"84",0.11
"85",0.09
"86",0.11
"87",0.09
"88",0.08
"89",0.11
"90",0.06
"91",0.09
"92",0.09
"93",0.07
"94",0.09
"95",0.08
"96",0.08
"97",0.09
"98",0.1
"99",0.08
"100",0.07
