"","x"
"1",0.11
"2",0.11
"3",0.1
"4",0.09
"5",0.1
"6",0.11
"7",0.11
"8",0.11
"9",0.11
"10",0.11
"11",0.1
"12",0.1
"13",0.11
"14",0.06
"15",0.09
"16",0.1
"17",0.1
"18",0.11
"19",0.07
"20",0.06
"21",0.08
"22",0.1
"23",0.09
"24",0.11
"25",0.09
"26",0.11
"27",0.09
"28",0.06
"29",0.11
"30",0.11
"31",0.1
"32",0.09
"33",0.11
"34",0.09
"35",0.08
"36",0.11
"37",0.1
"38",0.1
"39",0.09
"40",0.1
"41",0.1
"42",0.11
"43",0.11
"44",0.11
"45",0.11
"46",0.07
"47",0.11
"48",0.1
"49",0.07
"50",0.11
"51",0.11
"52",0.1
"53",0.09
"54",0.1
"55",0.09
"56",0.1
"57",0.08
"58",0.08
"59",0.1
"60",0.07
"61",0.1
"62",0.1
"63",0.1
"64",0.09
"65",0.1
"66",0.07
"67",0.1
"68",0.1
"69",0.09
"70",0.08
"71",0.11
"72",0.09
"73",0.09
"74",0.09
"75",0.09
"76",0.11
"77",0.09
"78",0.09
"79",0.11
"80",0.11
"81",0.11
"82",0.11
"83",0.1
"84",0.1
"85",0.11
"86",0.11
"87",0.08
"88",0.1
"89",0.11
"90",0.07
"91",0.08
"92",0.11
"93",0.1
"94",0.09
"95",0.09
"96",0.1
"97",0.1
"98",0.1
"99",0.1
"100",0.08
